excel_muni,excel_puesto,db_puesto_id,db_puesto_name,db_municipio_id,creemos,sn,mesas_historicas,confidence,method,status
NECOCLI,I.E.R ZAPATA,910,I.E.R ZAPATA,109,19,8,5,100,exact,ok
OLAYA,CASA DE LA CULTURA - CABECERA,911,CASA DE LA CULTURA - CABECERA,47,7,0,1,100,exact,ok
OLAYA,I.E LLANADAS PRIMAVERA,912,I.E LLANADAS PRIMAVERA,47,40,3,4,100,exact,ok
OLAYA,I.E VEREDA EL PENCAL,913,I.E VEREDA EL PENCAL,47,2,2,1,100,exact,ok
OLAYA,SUCRE - CASA DE LA CULTURA,914,SUCRE - CASA DE LA CULTURA,47,46,2,3,100,exact,ok
PEÑOL,I.E. LEON XIII,915,I.E. LEON XIII,24,1222,150,57,100,exact,ok
PEQUE,COLISEO RICARDO ANTONIO DAVID PIEDRAHITA,916,"COLISEO RICARDO ANTONIO DAVID
PIEDRAHITA",48,107,21,15,100,exact,ok
PEQUE,C.E.R. JUAN IGNACIO TAMAYO,918,C.E.R. JUAN IGNACIO TAMAYO,48,5,2,2,100,exact,ok
PEQUE,C.E.R. JERIGUA,919,C.E.R. JERIGUA,48,3,1,1,100,exact,ok
PEQUE,C.E.R. LOMITAS,920,C.E.R. LOMITAS,48,1,4,1,100,exact,ok
PEQUE,I.E.R. FLORENCIO SALAS TUBERQUIA,921,I.E.R. FLORENCIO SALAS TUBERQUIA,48,5,2,2,100,exact,ok
PUEBLORRICO,I. E. EL SALVADOR,923,I. E. EL SALVADOR,67,34,20,21,100,exact,ok
PUERTO BERRIO,I.E AMERICA,924,I.E AMERICA,123,110,19,13,100,exact,ok
PUERTO BERRIO,ESC. LA MILLA,925,ESC. LA MILLA,123,54,9,9,100,exact,ok
PUERTO BERRIO,I.E. ANTONIO NARIÑO,926,I.E. ANTONIO NARIÑO,123,88,10,13,100,exact,ok
PUERTO BERRIO,I.E. ALFONSO LOPEZ PUMAREJO,927,I.E. ALFONSO LOPEZ PUMAREJO,123,123,20,17,100,exact,ok
PUERTO BERRIO,INSTITUTO LA INMACULADA,928,INSTITUTO LA INMACULADA,123,166,48,22,100,exact,ok
PUERTO BERRIO,ESC. LA ISLA,929,ESC. LA ISLA,123,38,6,6,100,exact,ok
PUERTO BERRIO,I.E. BOMBONA,930,I.E. BOMBONA,123,84,18,16,100,exact,ok
PUERTO BERRIO,CENTRO DIA,931,CENTRO DIA,123,31,6,7,100,exact,ok
PUERTO BERRIO,SD MURILLO I.E.R LA CARLOTA,933,SD MURILLO I.E.R LA CARLOTA,123,4,0,1,100,exact,ok
PUERTO BERRIO,SD CRISTALINA I.E.R LA CARLOTA,934,SD CRISTALINA I.E.R LA CARLOTA,123,94,3,2,100,exact,ok
PUERTO BERRIO,SD EL BRASIL I.E.R LA CARLOTA,935,SD EL BRASIL I.E.R LA CARLOTA,123,62,2,3,100,exact,ok
PUERTO BERRIO,I.E.R MADRE LAURA,936,I.E.R MADRE LAURA,123,54,0,2,100,exact,ok
PUERTO BERRIO,I. E. R PEDRO JUSTO BERRIO,937,I. E. R PEDRO JUSTO BERRIO,123,24,8,2,100,exact,ok
PUERTO TRIUNFO,SD PRIMARIA I.E. PABLO VI,938,SD PRIMARIA I.E. PABLO VI,124,127,37,14,100,exact,ok
PUERTO TRIUNFO,CARCEL MUNICIPAL,939,CARCEL MUNICIPAL,124,1,0,1,100,exact,ok
PUERTO TRIUNFO,I.E. DORADAL,941,I.E. DORADAL,124,287,42,16,100,exact,ok
PUERTO TRIUNFO,I.E. ESTACION COCORNA,942,I.E. ESTACION COCORNA,124,179,1,3,100,exact,ok
PUERTO TRIUNFO,I.E. LA MERCED,943,I.E. LA MERCED,124,223,5,4,100,exact,ok
PUERTO TRIUNFO,I.E. PUERTO PERALES,944,I.E. PUERTO PERALES,124,121,17,5,100,exact,ok
PUERTO TRIUNFO,CENTRO DE DESARROLLO SOCIAL,945,CENTRO DE DESARROLLO SOCIAL,124,20,2,3,100,exact,ok
REMEDIOS,I.E. IGNACIO YEPES YEPES,948,I.E. IGNACIO YEPES YEPES,79,40,41,33,100,exact,ok
REMEDIOS,PARQUE EDUC. ISABELITA TEJADA CUARTAS,949,PARQUE EDUC. ISABELITA TEJADA CUARTAS,79,20,12,12,100,exact,ok
REMEDIOS,I. E.R. LA CRUZADA,946,I. E.R. LA CRUZADA,79,16,12,10,100,exact,ok
REMEDIOS,E. R. CAMPO VIJAO,950,E. R. CAMPO VIJAO,79,1,1,1,100,exact,ok
REMEDIOS,C.E.R. CAÑAVERAL,951,C.E.R. CAÑAVERAL,79,0,4,3,100,exact,ok
REMEDIOS,I. E.R. PABLO VI,947,I. E.R. PABLO VI,79,4,19,4,100,exact,ok
REMEDIOS,CENTRO CULTURAL LEJANIAS,954,CENTRO CULTURAL LEJANIAS,79,0,1,1,100,exact,ok
RETIRO,COLISEO MUN CARLOS MAURO HOYOS,955,COLISEO MUN CARLOS MAURO HOYOS,25,528,241,41,100,exact,ok
RETIRO,IE IGNACIO BOTERO VALLEJO,956,IE IGNACIO BOTERO VALLEJO,25,260,118,16,100,exact,ok
RETIRO,IE LUIS EDUARDO POSADA,957,IE LUIS EDUARDO POSADA,25,161,89,10,100,exact,ok
RIONEGRO,I.E. JULIO SANIN,958,I.E. JULIO SANIN,26,398,123,27,100,exact,ok
RIONEGRO,OFICINA VALORIZACION ALCALDIA,959,OFICINA VALORIZACION ALCALDIA,26,466,181,29,100,exact,ok
RIONEGRO,COLISEO RUBEN DARIO QUINTERO,960,COLISEO RUBEN DARIO QUINTERO,26,556,192,30,100,exact,ok
RIONEGRO,ESCUELA UNIDA,961,ESCUELA UNIDA,26,324,70,21,100,exact,ok
RIONEGRO,SD BALDOMERO IE JOSEFINA MUÑOZ GONZALEZ,962,"SD BALDOMERO IE JOSEFINA MUÑOZ
GONZALEZ",26,571,128,33,100,exact,ok
RIONEGRO,IE SAN ANTONIO,963,IE SAN ANTONIO,26,741,375,36,100,exact,ok
RIONEGRO,IT SANTIAGO DE ARMA,964,IT SANTIAGO DE ARMA,26,398,216,23,100,exact,ok
RIONEGRO,COLISEO IVAN RAMIRO CORDOBA,965,COLISEO IVAN RAMIRO CORDOBA,26,520,155,31,100,exact,ok
RIONEGRO,SD CUATRO ESQ IE JOSEFINA MUÑOZ GONZALEZ,966,SD CUATRO ESQ IE JOSEFINA MUÑOZ GONZALEZ,26,337,113,23,100,exact,ok
RIONEGRO,ESC EDUARDO URIBE BOTERO,967,ESC EDUARDO URIBE BOTERO,26,414,157,22,100,exact,ok
RIONEGRO,LIC CONSEJO MUNICIPAL,968,LIC CONSEJO MUNICIPAL,26,580,202,29,100,exact,ok
RIONEGRO,ESC PASCUALA MUÑOZ,969,ESC PASCUALA MUÑOZ,26,270,96,14,100,exact,ok
RIONEGRO,I E GILBERTO ECHEVERRY MEJIA,970,I E GILBERTO ECHEVERRY MEJIA,26,924,180,23,100,exact,ok
RIONEGRO,I E ANTONIO DONADO CAMACHO,971,I E ANTONIO DONADO CAMACHO,26,133,68,8,100,exact,ok
RIONEGRO,AUDITORIO AEROPUERTO CORR. J.M.C.,972,AUDITORIO AEROPUERTO CORR. J.M.C.,26,127,66,10,100,exact,ok
RIONEGRO,I E BARRO BLANCO,973,I E BARRO BLANCO,26,87,90,6,100,exact,ok
RIONEGRO,ESC SAN JOSE DE LAS CUCHILLAS,974,ESC SAN JOSE DE LAS CUCHILLAS,26,110,50,6,100,exact,ok
RIONEGRO,CASETA COMUNAL GALICIA,975,CASETA COMUNAL GALICIA,26,110,26,5,100,exact,ok
RIONEGRO,IE ANA GOMEZ DE SIERRA,976,IE ANA GOMEZ DE SIERRA,26,169,64,12,100,exact,ok
SABANALARGA,COLISEO MPAL FRANCISCO LUIS HOLGUIN F,978,COLISEO MPAL FRANCISCO LUIS HOLGUIN F,49,21,18,16,100,exact,ok
SABANALARGA,SALON PARROQUIAL,979,SALON PARROQUIAL,49,9,0,2,100,exact,ok
SABANALARGA,I.E.R EL SOCORRO,980,I.E.R EL SOCORRO,49,1,1,1,100,exact,ok
SABANALARGA,I.E.R EL JUNCO,981,I.E.R EL JUNCO,49,2,5,2,100,exact,ok
SABANETA,I.E. RAFAEL J. MEJIA,387,I.E. RAFAEL J. MEJIA,5,778,180,35,100,exact,ok
SABANETA,I.E. PRIMITIVO LEAL LA DOCTORA,388,I.E. PRIMITIVO LEAL LA DOCTORA,5,552,130,25,100,exact,ok
SABANETA,CTRO PARA EL ADULTO MAYOR CAITES,389,CTRO PARA EL ADULTO MAYOR CAITES,5,778,294,34,100,exact,ok
SABANETA,I.E. PRESBITERO ANTONIO BAENA SALAZAR,390,I.E. PRESBITERO ANTONIO BAENA SALAZAR,5,43,10,5,100,exact,ok
SABANETA,COL PADRE RAMON ARCILA R,391,COL PADRE RAMON ARCILA R,5,354,102,16,100,exact,ok
SABANETA,IE JOSE FELIX DE RESTREPO,392,IE JOSE FELIX DE RESTREPO,5,939,282,45,100,exact,ok
SABANETA,BIBLIOTECA MUNICIPAL,393,BIBLIOTECA MUNICIPAL,5,436,180,19,100,exact,ok
SABANETA,CASA DE LA CULTURA LA BARQUEREÑA,394,CASA DE LA CULTURA LA BARQUEREÑA,5,259,94,12,100,exact,ok
SABANETA,CTRO DE ATENCION 1RA INFANCIA CAIPI,395,CTRO DE ATENCION 1RA INFANCIA CAIPI,5,383,99,17,100,exact,ok
SABANETA,IE CONCEJO DE SABANETA JMCB,396,IE CONCEJO DE SABANETA JMCB,5,631,171,30,100,exact,ok
SABANETA,IE MARIA MEDIADORA,397,IE MARIA MEDIADORA,5,331,82,22,100,exact,ok
SABANETA,PARQUE DE LOS 4 ELEMENTOS,398,PARQUE DE LOS 4 ELEMENTOS,5,185,72,8,100,exact,ok
SABANETA,GIMNASIO CAMPESTRE LOS ALCAZARES,399,GIMNASIO CAMPESTRE LOS ALCAZARES,5,479,127,22,100,exact,ok
SABANETA,I.E MARIA AUXILIADORA,400,I.E MARIA AUXILIADORA,5,89,43,4,100,exact,ok
SABANETA,E.R. LAS LOMITAS (JAC),401,E.R. LAS LOMITAS (JAC),5,11,3,1,100,exact,ok
SABANETA,JAC VEREDA SAN JOSE,402,JAC VEREDA SAN JOSE,5,33,13,2,100,exact,ok
SALGAR,IE JULIO RESTREPO,982,IE JULIO RESTREPO,68,192,43,35,100,exact,ok
SALGAR,CASETA COMUNAL EL CONCILIO,983,CASETA COMUNAL EL CONCILIO,68,25,0,2,100,exact,ok
SALGAR,I.E.R. ABELARDO OCHOA,984,I.E.R. ABELARDO OCHOA,68,45,6,3,100,exact,ok
SALGAR,CASETA COMUNAL LA GULUNGA,985,CASETA COMUNAL LA GULUNGA,68,3,0,1,100,exact,ok
SALGAR,C. E. R. CARLOS VIECO ORTIZ,986,C. E. R. CARLOS VIECO ORTIZ,68,6,0,2,100,exact,ok
SALGAR,C. E. R. PEÑALISA,987,C. E. R. PEÑALISA,68,1,4,2,100,exact,ok
SAN ANDRES,COLISEO LOS FUNDADORES,988,COLISEO LOS FUNDADORES,96,43,17,14,100,exact,ok
